ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"['Embroidered', 'Flower', 'Round', 'Neck', ""Women's"", ""Saree's"", 'Blouses,blouse', 'spangel', 'fashion']",576.jpeg,blouse spangel fashion,Embroidered Flower Round Neck Women's Saree's Blouses,embroidered flower neck spangel fashion
"[""Women's"", 'Jacquard', 'Stitched', 'Elbow', 'Sleeves', 'Saree', 'Blouse,blouse', 'ocean', 'fashion']",577.jpeg,blouse ocean fashion,Women's Jacquard Stitched Elbow Sleeves Saree Blouse,jacquard stitched elbow sleeve saree ocean fashion
"[""Women's"", 'White', 'Ikkat', 'Saree', 'Blouse', 'With', 'Goodluck', 'Fish', 'Wooden', 'Buttons,blouse', 'studio', 'shringaar']",578.jpeg,blouse studio shringaar,Women's White Ikkat Saree Blouse With Goodluck Fish Wooden Buttons,ikkat saree blouse goodluck fish wooden studio shringaar
"['Velvet', 'Fabric', 'Women', 'Blouse', '(2074-BL-PURPLE02),blouse', 'louis', 'fashion']",579.jpeg,blouse louis fashion,Velvet Fabric Women Blouse (2074-BL-PURPLE02),velvet fabric woman blouse bl louis fashion
"[""Women's"", 'Polyester', 'Elbow', 'Length', 'Sleeves', 'Wedding', 'Saree', 'Blouse', 'with', 'Golden', 'Embroidery,blouse', 'studio', 'shringaar']",580.jpeg,blouse studio shringaar,Women's Polyester Elbow Length Sleeves Wedding Saree Blouse with Golden Embroidery,polyester elbow length sleeve wedding saree blouse golden studio shringaar
"['WIDEHAVEN', ""Women's"", 'Multicolor', 'Thread', 'Embroidery', 'Handwork', 'Zari', 'Sequence', 'Work', 'Phantom', 'Silk', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', 'Choli', 'Royal', 'Blue,blouse', 'widehaven', 'fashion']",581.jpeg,blouse widehaven fashion,WIDEHAVEN Women's Multicolor Thread Embroidery Handwork Zari Sequence Work Phantom Silk Readymade Blouse for Saree and Lehenga Choli Royal Blue,widehaven multicolor thread embroidery handwork zari sequence work phantom silk readymade blouse saree lehenga choli royal widehaven fashion
"[""Women's"", 'Blue', 'Color', 'Front', 'Open', 'Silk', 'Based', 'zari', 'Worked', 'Blouse', 'with', 'Half', 'Sleeve', 'and', 'Round', 'Neck(STCW03BL),blouse', 'linisa']",582.jpeg,blouse linisa,Women's Blue Color Front Open Silk Based zari Worked Blouse with Half Sleeve and Round Neck(STCW03BL),blue color front open silk based zari worked blouse sleeve linisa
"[""Women's"", 'Bamboo', 'Silk', 'Fabric', 'Digital', 'Print', 'Blouse(Readymade),blouse', 'priyal', 'designer']",583.jpeg,blouse priyal designer,Women's Bamboo Silk Fabric Digital Print Blouse(Readymade),bamboo silk fabric digital print priyal designer
"['Stretchable', ""Girl's"", '&', ""Women's"", 'Cotton', 'Lycra', 'Readymade', 'Lace', 'Net', 'Blouse(Free', 'Size', ':', 'Color', ':Maroon-16),blouse', 'harikrupex']",584.jpeg,blouse harikrupex,Stretchable Girl's & Women's Cotton Lycra Readymade Lace Net Blouse(Free Size : Color :Maroon-16),stretchable cotton lycra readymade lace net color harikrupex
"[""Women's"", 'Regular', '(Readymade', 'Blouse_Multicolor', 'Standard),blouse', 'pujia', 'mills']",585.jpeg,blouse pujia mills,Women's Regular (Readymade Blouse_Multicolor Standard),regular pujia mill
"['Black', 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Free', 'Size', 'Saree', 'Blouse', 'for', 'Women-SSB1729-BLCK-FS,blouse', 'salwar', 'studio']",586.jpeg,blouse salwar studio,Black Cotton Lycra Stretchable Readymade Free Size Saree Blouse for Women-SSB1729-BLCK-FS,cotton lycra stretchable readymade saree blouse woman blck salwar studio
"[""Women's"", 'Sequence', 'Embroidered', 'Orange', 'Silk', 'Blouse', 'With', 'V-Neck', '(FD-BL-10001-Orange),blouse', 'fab', 'dadu']",587.jpeg,blouse fab dadu,Women's Sequence Embroidered Orange Silk Blouse With V-Neck (FD-BL-10001-Orange),sequence embroidered orange silk blouse v neck bl fab dadu
"['U-Neck', 'Women', 'Blouse,blouse', 'sanmati', 'creation']",588.jpeg,blouse sanmati creation,U-Neck Women Blouse,u neck woman sanmati creation
"['Unstitched', 'Silk', 'Blouse', 'Piece', 'Material', 'Mobile', 'Packing', '1', 'Meter,', '(100', 'cm)-DA11,blouse', 'cotton', 'colors']",589.jpeg,blouse cotton colors,"Unstitched Silk Blouse Piece Material Mobile Packing 1 Meter, (100 cm)-DA11",unstitched silk blouse material mobile packing cotton color
"[""Women's"", 'Denim', 'Sleeve', 'Saree', 'Blouse', 'for', 'Wedding', '(38+4', 'inch', 'margin),blouse', 'amiira']",590.jpeg,blouse amiira,Women's Denim Sleeve Saree Blouse for Wedding (38+4 inch margin),denim sleeve saree blouse wedding amiira
"[""Women's"", 'Stretchable', 'Readymade', 'Saree', 'Blouse', 'Crop', 'Top', 'Choli', 'Pack', 'of', '2', 'Colour', 'Black', 'and', 'Red', 'Size', '28""', 'to', '36""', 'in,blouse', 'generic']",591.jpeg,blouse generic,"Women's Stretchable Readymade Saree Blouse Crop Top Choli Pack of 2 Colour Black and Red Size 28"" to 36"" in",stretchable readymade saree blouse crop top choli pack generic
