ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"[""Women's"", 'Black', 'Elephant', 'Embroidered', 'Saree', 'Blouse,blouse', 'studio', 'shringaar']",806.jpeg,blouse studio shringaar,Women's Black Elephant Embroidered Saree Blouse,elephant embroidered saree studio shringaar
"[""Women's"", 'Green', 'Jacquard', 'Blouse', 'With', 'Round', 'Neck', '(FD-BL-20014-Green),blouse', 'fab', 'dadu']",807.jpeg,blouse fab dadu,Women's Green Jacquard Blouse With Round Neck (FD-BL-20014-Green),jacquard blouse neck bl fab dadu
"[""Women's"", 'Pink', 'Flower', 'Embroidery', 'Sleeves', 'Design', 'Art', 'Silk', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli', '(38', '+', '4inch', 'Margin)(Pink),blouse', 'mesmore']",808.jpeg,blouse mesmore,Women's Pink Flower Embroidery Sleeves Design Art Silk Readymade Blouse For Saree and Lehenga Choli (38 + 4inch Margin)(Pink),pink flower embroidery sleeve design art silk readymade blouse saree lehenga choli mesmore
"[""Women's"", 'Brocade', 'and', 'Georgette', 'Round', 'Neck', 'Blouse,blouse', 'hf', 'holyday', 'fashion']",809.jpeg,blouse hf holyday fashion,Women's Brocade and Georgette Round Neck Blouse,brocade georgette neck hf holyday fashion
"[""Women's"", 'Velvet', 'Stretchable', 'Blouse,blouse', 'dubai', 'creation']",810.jpeg,blouse dubai creation,Women's Velvet Stretchable Blouse,velvet stretchable dubai creation
"[""Hrutvi's"", 'Selected', 'Stretchable', 'Blouse,blouse', 'generic']",811.jpeg,blouse generic,Hrutvi's Selected Stretchable Blouse,selected stretchable generic
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Plain', 'Saree', 'Blouse(Combo', 'of', '3)(PB3-30-79),blouse', 'jelite']",812.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade Plain Saree Blouse(Combo of 3)(PB3-30-79),premium cotton lycra stretchable readymade saree jelite
"[""Women's"", 'Embroidery', 'work', 'Cotton', 'Readymade', 'Half', 'Sleeve', 'Saree', 'blouse', '(Green;', 'Free-Size),blouse', 'xomantic', 'fashion']",813.jpeg,blouse xomantic fashion,Women's Embroidery work Cotton Readymade Half Sleeve Saree blouse (Green; Free-Size),embroidery work cotton readymade sleeve saree blouse xomantic fashion
"['WIDEHAVEN', ""Women's"", 'Multicolor', 'Gold', 'Embroidery', 'Sequance', 'Zari', 'Work', 'Readymade', 'Saree', 'Blouse', 'and', 'Lehenga', 'Choli,blouse', 'widehaven', 'fashion']",814.jpeg,blouse widehaven fashion,WIDEHAVEN Women's Multicolor Gold Embroidery Sequance Zari Work Readymade Saree Blouse and Lehenga Choli,widehaven multicolor gold embroidery sequance zari work readymade saree blouse lehenga widehaven fashion
"[""Women's"", 'Embroidered', 'Orange', 'Phantom', 'Silk', 'Blouse', 'With', 'Round', 'Neck', '(BL-20051-Orange)_Free_Size,blouse', 'fab', 'dadu']",815.jpeg,blouse fab dadu,Women's Embroidered Orange Phantom Silk Blouse With Round Neck (BL-20051-Orange)_Free_Size,embroidered orange phantom silk blouse neck fab dadu
"[""Women's"", 'Multicolor', 'Neckless', 'Neck', 'Handwork', 'Flower', 'Embroidery', 'Sequance', 'Zari', 'Work', 'Phanto', 'Silk', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli', '(Red),blouse', 'mesmore']",816.jpeg,blouse mesmore,Women's Multicolor Neckless Neck Handwork Flower Embroidery Sequance Zari Work Phanto Silk Readymade Blouse For Saree and Lehenga Choli (Red),multicolor neckless neck handwork flower embroidery sequance zari work phanto silk readymade blouse saree lehenga choli mesmore
"[""Women's"", 'Phantom', 'Readymade', 'Blouse', '(38', '+', '4inch', 'Margin)(Pink),blouse', 'mesmore']",817.jpeg,blouse mesmore,Women's Phantom Readymade Blouse (38 + 4inch Margin)(Pink),phantom readymade blouse mesmore
"['WIDEHAVEN', ""Women's"", 'Multicolor', 'Floral', 'Checks', 'Back', 'Design', 'and', 'Check', 'Sleeves', 'Embroidery', 'Phantom', 'Silk', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', 'Choli,blouse', 'widehaven', 'fashion']",818.jpeg,blouse widehaven fashion,WIDEHAVEN Women's Multicolor Floral Checks Back Design and Check Sleeves Embroidery Phantom Silk Readymade Blouse for Saree and Lehenga Choli,widehaven multicolor floral check back design check sleeve embroidery phantom silk readymade blouse saree lehenga widehaven fashion
"['Silk', 'Sleeveless', 'Saree', 'Blouse,blouse', 'femmibella']",819.jpeg,blouse femmibella,Silk Sleeveless Saree Blouse,silk sleeveless saree femmibella
"['Cottons', 'Unstitched', 'Saree', 'Blouse', 'Fabric', '(Multicolor,', 'Free', 'Size)', '-', 'Pack', 'of', '6,', '1m', 'Each', '-HAS38,blouse', 'cotton', 'colors']",820.jpeg,blouse cotton colors,"Cottons Unstitched Saree Blouse Fabric (Multicolor, Free Size) - Pack of 6, 1m Each -HAS38",cotton unstitched saree blouse fabric pack each cotton color
"['Cotton', 'Hand', 'Work', 'Embriodered', 'Blouse', 'for', 'Women', '(OW8A3231_48)', 'Yellow,blouse', 'intrigue']",821.jpeg,blouse intrigue,Cotton Hand Work Embriodered Blouse for Women (OW8A3231_48) Yellow,cotton hand work embriodered blouse woman intrigue
"[""Women's"", 'Orange', 'Colour', 'Round', 'Front', 'Back', 'Heavy', 'Stone', 'Work', 'and', 'Keri', 'Pattern', 'Zari', 'Work', 'Readymade', 'Blouse', 'For', 'Saree', 'And', 'Lehenga', 'Choli', '(38+4', 'inch', 'margin),blouse', 'pujia', 'mills']",822.jpeg,blouse pujia mills,Women's Orange Colour Round Front Back Heavy Stone Work and Keri Pattern Zari Work Readymade Blouse For Saree And Lehenga Choli (38+4 inch margin),orange front back stone work keri pattern zari work readymade blouse saree lehenga choli pujia mill
"['Brocade', 'Readymade', 'Saree', 'Blouse', 'With', 'Elbow', 'Length', 'Sleeves,blouse', 'studio', 'shringaar']",823.jpeg,blouse studio shringaar,Brocade Readymade Saree Blouse With Elbow Length Sleeves,brocade readymade saree blouse elbow length studio shringaar
"[""Women's"", 'Navy', 'Blue', 'Colour', 'Deep', 'Neck', 'Silk', 'Sleeveless', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli', '(Sleeves', 'inside),blouse', 'pujia', 'mills']",824.jpeg,blouse pujia mills,Women's Navy Blue Colour Deep Neck Silk Sleeveless Readymade Blouse For Saree and Lehenga Choli (Sleeves inside),navy blue deep neck silk sleeveless readymade blouse saree lehenga choli pujia mill
"['Cotton', 'Long', 'cholis', 'Saree', 'Blouse', '(BL001-50PINK-B_Pink_Free', 'Size),blouse', 'janasya']",825.jpeg,blouse janasya,Cotton Long cholis Saree Blouse (BL001-50PINK-B_Pink_Free Size),cotton cholis saree blouse janasya
"[""Women's"", 'Embroidered', 'Phantom', 'Silk', 'Blouse', 'With', 'Round', 'Neck', 'Blouse', '(38', '+', '4inch', 'Margin)(Black),blouse', 'gomore', 'fashion']",826.jpeg,blouse gomore fashion,Women's Embroidered Phantom Silk Blouse With Round Neck Blouse (38 + 4inch Margin)(Black),embroidered phantom silk blouse neck blouse gomore fashion
"['Embroidery', 'Work', 'Hand', 'Cut', 'Work', 'Checks', 'Sleeves', 'Design', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', 'Choli,blouse', 'yazu', 'lifestyle']",827.jpeg,blouse yazu lifestyle,Embroidery Work Hand Cut Work Checks Sleeves Design Readymade Blouse for Saree and Lehenga Choli,embroidery work hand work check sleeve design readymade blouse saree lehenga yazu lifestyle
"['Blouse', 'has', 'Handwork', 'Thread', 'and', 'Coding', 'Work', '(.Purple),blouse', 'doresuza']",828.jpeg,blouse doresuza,Blouse has Handwork Thread and Coding Work (.Purple),blouse ha handwork thread coding work doresuza
"[""Women's"", 'Green', 'Color', 'Silk', 'Based', 'Zari', 'and', 'Kach', 'Worked', 'Blouse', 'with', 'Half', 'Sleeve', 'Sleeve', 'and', 'U-Neck', 'Neck,blouse', 'linisa']",829.jpeg,blouse linisa,Women's Green Color Silk Based Zari and Kach Worked Blouse with Half Sleeve Sleeve and U-Neck Neck,color silk based zari kach worked blouse sleeve sleeve u neck linisa
"['Lycra', '3/4th', 'Net', 'Sleeves', 'Princess', 'Cut', 'Padded', 'Stretchable', 'Readymade', 'Saree', 'Blouse', 'for', 'Womens', 'and', 'Girls', '(V-014-RED_32_BU_V_Red_32),blouse', 'biyu', 'being', 'with', 'you']",830.jpeg,blouse biyu being with you,Lycra 3/4th Net Sleeves Princess Cut Padded Stretchable Readymade Saree Blouse for Womens and Girls (V-014-RED_32_BU_V_Red_32),lycra net sleeve princess padded stretchable readymade saree blouse woman girl biyu being you
"[""Women's"", 'Navy', 'Blue', 'Dupion', 'Silk', 'Readymade', 'Padded', 'Saree', 'Blouse(SSB2025_Navy', 'Blue_Size', ':', '32-42),blouse', 's', 'salwar', 'studio']",831.jpeg,blouse s salwar studio,Women's Navy Blue Dupion Silk Readymade Padded Saree Blouse(SSB2025_Navy Blue_Size : 32-42),navy blue dupion silk readymade padded saree s salwar studio
"[""Women's"", 'Round', 'Neck', 'Heavy', 'Embroidery', 'Work', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', '(Size', '38+4', 'inch', 'Margin),blouse', 'gajanan', 'fashion']",832.jpeg,blouse gajanan fashion,Women's Round Neck Heavy Embroidery Work Readymade Blouse for Saree and Lehenga (Size 38+4 inch Margin),neck embroidery work readymade blouse saree lehenga gajanan fashion
"[""Women's"", 'Satin', 'Silk', 'Kalamkari', 'Work', 'Round', 'Neck', 'Readymade', 'Saree', 'Blouses,blouse', 'ocean', 'fashion']",833.jpeg,blouse ocean fashion,Women's Satin Silk Kalamkari Work Round Neck Readymade Saree Blouses,satin silk kalamkari work neck readymade saree ocean fashion
"['WIDEHAVENFASHION', ""Women's"", 'Phantom', 'Silk', 'Embroidered', 'best', 'Chain', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', 'Choli', '(size', '38', '+', '4', 'inch', 'margin)', '(Black),blouse', 'generic']",834.jpeg,blouse generic,WIDEHAVENFASHION Women's Phantom Silk Embroidered best Chain Blouse for Saree and Lehenga Choli (size 38 + 4 inch margin) (Black),widehavenfashion phantom silk embroidered best chain blouse saree lehenga choli generic
"['Women’s', 'Pochampally', 'Ikat', 'Cotton', 'Fabric', 'Half', 'Sleeves', 'Stand', 'Collar', 'Readymade', 'Saree', 'Blouse', '(Chandan', 'Yellow,M-Medium),blouse', 'shubhsarini', 'collections']",835.jpeg,blouse shubhsarini collections,"Women’s Pochampally Ikat Cotton Fabric Half Sleeves Stand Collar Readymade Saree Blouse (Chandan Yellow,M-Medium)",pochampally ikat cotton fabric sleeve stand collar readymade saree blouse shubhsarini collection
"['Banglori', 'Sequins', 'Short', 'Sleeve', 'Blouse,blouse', 'generic']",836.jpeg,blouse generic,Banglori Sequins Short Sleeve Blouse,banglori sequin short sleeve generic
"[""Women's"", 'Multicolor', 'Heavy', 'Sequins', 'Zardosi', 'Work', 'Sleeves', 'Design', 'Phantom', 'Silk', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli,blouse', 'pujia', 'mills']",837.jpeg,blouse pujia mills,Women's Multicolor Heavy Sequins Zardosi Work Sleeves Design Phantom Silk Readymade Blouse For Saree and Lehenga Choli,multicolor sequin zardosi work sleeve design phantom silk readymade blouse saree lehenga pujia mill
"[""Women's"", 'Yellow', 'Color', 'Front', 'Open', 'Silk', 'Based', 'zari', 'Worked', 'Blouse', 'with', 'Half', 'Sleeve', 'Sleeve', 'and', 'Round', 'Neck,blouse', 'linisa']",838.jpeg,blouse linisa,Women's Yellow Color Front Open Silk Based zari Worked Blouse with Half Sleeve Sleeve and Round Neck,color front open silk based zari worked blouse sleeve sleeve linisa
"['Gk', 'The', 'seller', 'Combo', 'Pack', 'of', 'Handmade', 'Readymade', 'Designer', 'Blouse', 'with', 'Golden', 'Lash', 'for', 'Women,Girl', '-', 'Pack', 'of', '5,blouse', 'generic']",839.jpeg,blouse generic,"Gk The seller Combo Pack of Handmade Readymade Designer Blouse with Golden Lash for Women,Girl - Pack of 5",gk seller combo pack handmade readymade designer blouse golden lash pack generic
"['UK3', 'Fashion', 'Creation', 'for', 'Velvet', 'Embroidery', 'Readymade', 'Blouse', 'for', 'Women’s,blouse', 'generic']",840.jpeg,blouse generic,UK3 Fashion Creation for Velvet Embroidery Readymade Blouse for Women’s,fashion creation velvet embroidery readymade blouse generic
"['Kanta', 'Creation', 'Fabric', ':', 'Phantom', 'Silk', 'Designer', 'Readymade', 'Blouse', 'Neck', 'Design', ':', 'Round', 'Shape', 'Size:', '28', 'to', '36', '|', 'Colour', ':', 'Black', '&', 'Maroon,blouse', 'generic']",841.jpeg,blouse generic,Kanta Creation Fabric : Phantom Silk Designer Readymade Blouse Neck Design : Round Shape Size: 28 to 36 | Colour : Black & Maroon,kanta creation fabric phantom silk designer readymade blouse neck design shape generic
"['Cotton', 'Lycra', 'Women’s', 'Readymade', 'Stretchable', 'Blouse,blouse', 'red', 'lady']",842.jpeg,blouse red lady,Cotton Lycra Women’s Readymade Stretchable Blouse,cotton lycra readymade stretchable lady
"[""Women's"", 'Gold', 'Silk', 'Blend', 'Readymade', 'Saree', 'Blouse-SSB2843-GOLD-FS,blouse', 's', 'salwar', 'studio']",843.jpeg,blouse s salwar studio,Women's Gold Silk Blend Readymade Saree Blouse-SSB2843-GOLD-FS,gold silk blend readymade saree blouse gold s salwar studio
"['Roopaima', 'tex', 'Multi', 'color', 'Jacquard', 'untitched', 'blouse', 'material,blouse', 'generic']",844.jpeg,blouse generic,Roopaima tex Multi color Jacquard untitched blouse material,roopaima tex multi color jacquard untitched blouse generic
"[""Women's"", 'Banglori', 'Silk', 'Printed', 'Half', 'Sleeves', 'Saree', 'Blouse(00425-690_34_BM_Beige_34),blouse', 'blockmoda']",845.jpeg,blouse blockmoda,Women's Banglori Silk Printed Half Sleeves Saree Blouse(00425-690_34_BM_Beige_34),banglori silk printed sleeve saree blockmoda
"[""Women's"", 'Readymade', 'Blouse', 'for', 'Saree', '&', 'Lehenga', 'Choli', '(Size', '38', '+', '4', 'inch', 'Margin),blouse', 'kulu']",846.jpeg,blouse kulu,Women's Readymade Blouse for Saree & Lehenga Choli (Size 38 + 4 inch Margin),readymade blouse saree lehenga choli kulu
"[""Women's"", 'Cotton', '&', 'Lycra', 'Floral', '3/4', 'Sleeve', 'Stitched', 'Blouse,blouse', 'caramel', 'blue']",847.jpeg,blouse caramel blue,Women's Cotton & Lycra Floral 3/4 Sleeve Stitched Blouse,cotton lycra floral sleeve stitched caramel blue
"[""Women's"", 'Printed', 'Beige', 'Jacquard', 'Blouse', 'With', 'Round', 'Neck', '(BL-20057-Beige)_Free_Size,blouse', 'fab', 'dadu']",848.jpeg,blouse fab dadu,Women's Printed Beige Jacquard Blouse With Round Neck (BL-20057-Beige)_Free_Size,printed beige jacquard blouse neck fab dadu
"['Unstitched', 'Silk', 'Blouse', 'Piece', 'Material', 'Mobile', 'Packing', '1', 'Meter,', '(100', 'cm)-D73,blouse', 'cotton', 'colors']",849.jpeg,blouse cotton colors,"Unstitched Silk Blouse Piece Material Mobile Packing 1 Meter, (100 cm)-D73",unstitched silk blouse material mobile packing cotton color
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', '3/4', 'Net', 'Sleeve', 'Saree', 'Blouse,blouse', 'jelite']",850.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade 3/4 Net Sleeve Saree Blouse,premium cotton lycra stretchable readymade net sleeve saree jelite
"[""Women's"", 'Velvet', 'Readymade', 'saree', 'Blouse', '(Maroon),blouse', 'aaradhya', 'enterprises']",851.jpeg,blouse aaradhya enterprises,Women's Velvet Readymade saree Blouse (Maroon),velvet readymade saree blouse aaradhya enterprise
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', '3/4', 'Net', 'Sleeve', 'Saree', 'Blouse,blouse', 'jelite']",852.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade 3/4 Net Sleeve Saree Blouse,premium cotton lycra stretchable readymade net sleeve saree jelite
"['Stitched', 'Embroidery', 'Blouse', '(Sky', 'Blue,', 'XL),blouse', 'destiny']",853.jpeg,blouse destiny,"Stitched Embroidery Blouse (Sky Blue, XL)",stitched embroidery blouse destiny
"[""Women's"", 'Grey', 'Color', 'Front', 'Open', 'Silk', 'Based', 'zari', 'Worked', 'Blouse', 'with', 'Half', 'Sleeve', 'Sleeve', 'and', 'Round', 'Neck,blouse', 'linisa']",854.jpeg,blouse linisa,Women's Grey Color Front Open Silk Based zari Worked Blouse with Half Sleeve Sleeve and Round Neck,grey color front open silk based zari worked blouse sleeve sleeve linisa
"['Plain', 'Cloth', 'Pieces', 'for', ""Women's"", 'Blouse', 'of', 'Silk', '1', 'Meter_H!,blouse', 'cotton', 'colors']",855.jpeg,blouse cotton colors,Plain Cloth Pieces for Women's Blouse of Silk 1 Meter_H!,cloth blouse silk cotton color
"[""Women's"", 'Jacquard', 'Multi', 'Color', 'Blouse', 'with', 'Round', 'Neck', 'Free_Size,blouse', 'amrutam', 'fab']",856.jpeg,blouse amrutam fab,Women's Jacquard Multi Color Blouse with Round Neck Free_Size,jacquard multi color blouse neck amrutam fab
"[""Women's"", 'Embroidered', 'Phantom', 'Silk', 'Blouse', 'With', 'Round', 'Neck', '(BL-20036)_Free_Size,blouse', 'fab', 'dadu']",857.jpeg,blouse fab dadu,Women's Embroidered Phantom Silk Blouse With Round Neck (BL-20036)_Free_Size,embroidered phantom silk blouse neck fab dadu
"[""Women'"", 's', 'Gold', 'Color', 'Cotton', 'Lycra', 'Stretchable', 'Stitched', 'Blouse,blouse', 'bright', 'collection']",858.jpeg,blouse bright collection,Women' s Gold Color Cotton Lycra Stretchable Stitched Blouse,s gold color cotton lycra stretchable stitched bright collection
"['Priyannsh', 'Creation', 'Present', 'Cotton', 'Blend', 'Fabric', 'Blouse', 'for', ""Woman's,blouse"", 'priyansh', 'creation']",859.jpeg,blouse priyansh creation,Priyannsh Creation Present Cotton Blend Fabric Blouse for Woman's,priyannsh creation present cotton blend fabric blouse priyansh creation
"['Ethnic', ""Women's"", 'Stitched', 'Ready', 'to', 'wear', 'Embroidered', 'Pure', 'Tussar', 'Silk', 'Backopen', 'Boatneck', 'Blouse', 'with', 'Puff', 'Sleeves,', 'Length', '15', 'inch,', 'Black,blouse', 'scarlet', 'thread']",860.jpeg,blouse scarlet thread,"Ethnic Women's Stitched Ready to wear Embroidered Pure Tussar Silk Backopen Boatneck Blouse with Puff Sleeves, Length 15 inch, Black",ethnic stitched ready wear embroidered pure tussar silk backopen boatneck blouse puff length scarlet thread
"['Golden', 'Short', 'Sleeves', 'Hand', 'Work', 'Blouse,blouse', 'sat', 'sahib']",861.jpeg,blouse sat sahib,Golden Short Sleeves Hand Work Blouse,golden short sleeve hand work sat sahib
"[""Women's"", 'Cotton', 'Stretchable', 'Blouse,blouse', 'jkg']",862.jpeg,blouse jkg,Women's Cotton Stretchable Blouse,cotton stretchable jkg
"['Creation', 'Women', 'Solid', 'Regular', 'Cotton', 'Lycra', 'Blouse', '(PV-SBL110-ONG-P),blouse', 'pv']",863.jpeg,blouse pv,Creation Women Solid Regular Cotton Lycra Blouse (PV-SBL110-ONG-P),creation woman solid regular cotton lycra blouse ong pv
"['Kanta', 'Creation', 'Fabric', ':', 'Phantom', 'Silk', 'Designer', 'Readymade', 'Blouse', 'Neck', 'Design', ':', 'Round', 'Shape', 'Size:', '28', 'to', '36', 'Colour', ':', 'Maroon,blouse', 'generic']",864.jpeg,blouse generic,Kanta Creation Fabric : Phantom Silk Designer Readymade Blouse Neck Design : Round Shape Size: 28 to 36 Colour : Maroon,kanta creation fabric phantom silk designer readymade blouse neck design shape generic
"['Green', 'Colour', 'Peacock', 'Sleeves', 'Design', 'Embroidery', 'Multicolour', 'Thread', 'Work', 'Silk', 'Readymade', 'Blouse', 'For', 'Saree', 'and', 'Lehenga', 'Choli,blouse', 'mesmore']",865.jpeg,blouse mesmore,Green Colour Peacock Sleeves Design Embroidery Multicolour Thread Work Silk Readymade Blouse For Saree and Lehenga Choli,peacock sleeve design embroidery multicolour thread work silk readymade blouse saree lehenga mesmore
"[""Women's"", 'Printed', 'Black', 'Jacquard', 'Blouse', 'With', 'Round', 'Neck', '(BL-20057-Black)_Free_Size,blouse', 'fab', 'dadu']",866.jpeg,blouse fab dadu,Women's Printed Black Jacquard Blouse With Round Neck (BL-20057-Black)_Free_Size,printed jacquard blouse neck fab dadu
"[""Women's"", 'Satin', 'Silk', '&', 'Cotton', 'Kalamkari', 'Half', 'Sleeve', 'Saree', 'Blouse,blouse', 'spangel', 'fashion']",867.jpeg,blouse spangel fashion,Women's Satin Silk & Cotton Kalamkari Half Sleeve Saree Blouse,satin silk cotton kalamkari sleeve saree spangel fashion
"[""Women's"", 'Lycra', 'Cap', 'Sleeve', 'Readymade', 'Saree', 'Blouse,blouse', 'r', 'rinkoo']",868.jpeg,blouse r rinkoo,Women's Lycra Cap Sleeve Readymade Saree Blouse,lycra cap sleeve readymade saree r rinkoo
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', '3/4', 'Net', 'Sleeve', 'Saree', 'Blouse,blouse', 'jelite']",869.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade 3/4 Net Sleeve Saree Blouse,premium cotton lycra stretchable readymade net sleeve saree jelite
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Plain', 'Saree', 'Blouse(Combo', 'of', '3)(PB3-45-79),blouse', 'jelite']",870.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade Plain Saree Blouse(Combo of 3)(PB3-45-79),premium cotton lycra stretchable readymade saree jelite
"[""Women's"", 'Blue', 'Phantom', 'Blouse', 'With', 'Round', 'Neck', '(FD-BL-20019-Blue),blouse', 'fab', 'dadu']",871.jpeg,blouse fab dadu,Women's Blue Phantom Blouse With Round Neck (FD-BL-20019-Blue),blue phantom blouse neck bl fab dadu
"[""Women's"", 'Lycra', 'Solid', 'Stretchable', 'Readymade', 'Non-Padded', 'Blouse', '(Gold),blouse', 'amaira']",872.jpeg,blouse amaira,Women's Lycra Solid Stretchable Readymade Non-Padded Blouse (Gold),lycra solid stretchable readymade non padded blouse amaira
"['Premium', ""Women's"", 'Cotton', 'Lycra', 'Stretchable', 'Readymade', 'Half', 'Net', 'Saree', 'Blouse(Combo', 'of', '4)(HN3-8-30-45),blouse', 'jelite']",873.jpeg,blouse jelite,Premium Women's Cotton Lycra Stretchable Readymade Half Net Saree Blouse(Combo of 4)(HN3-8-30-45),premium cotton lycra stretchable readymade net saree jelite
"[""Women's"", 'Cotton', 'Lycra', 'blouse', 'for', 'women', 'Readymade', 'stylish,blouse', 'tinsie']",874.jpeg,blouse tinsie,Women's Cotton Lycra blouse for women Readymade stylish,cotton lycra blouse woman readymade tinsie
"[""Women's"", 'Handwork', 'Zari', 'Work', 'Readymade', 'Blouse', 'For', 'Saree', 'And', 'Lehenga', '(Size', '38+margin)', '(attach', 'sleeves)(Red),blouse', 'mesmore']",875.jpeg,blouse mesmore,Women's Handwork Zari Work Readymade Blouse For Saree And Lehenga (Size 38+margin) (attach sleeves)(Red),handwork zari work readymade blouse saree lehenga mesmore
"[""Women's"", 'Sajan', 'Design', 'Readymade', 'Phantom', 'Silk', 'Blouse,blouse', 'rutva', 'enterprise']",876.jpeg,blouse rutva enterprise,Women's Sajan Design Readymade Phantom Silk Blouse,sajan design readymade phantom silk rutva enterprise
"[""Women's"", 'Silver', 'Brocade', 'Sleeveless', 'Saree', 'Blouse,blouse', 'studio', 'shringaar']",877.jpeg,blouse studio shringaar,Women's Silver Brocade Sleeveless Saree Blouse,silver brocade sleeveless saree studio shringaar
"['Lionize', ""Women's"", 'Lycra', 'Round', 'Neck', '3/4th', 'Sleeves', 'Stretchable', 'Readymade', 'Blouse,blouse', 'lionize']",878.jpeg,blouse lionize,Lionize Women's Lycra Round Neck 3/4th Sleeves Stretchable Readymade Blouse,lionize lycra neck sleeve stretchable readymade lionize
"[""Women's"", 'Gold', 'Art', 'Silk', 'Readymade', 'Saree', 'Blouse-SSB3065-GOLD,blouse', 's', 'salwar', 'studio']",879.jpeg,blouse s salwar studio,Women's Gold Art Silk Readymade Saree Blouse-SSB3065-GOLD,gold art silk readymade saree blouse s salwar studio
"['WIDEHAVEN', ""Women's"", 'Round', 'Neck', 'Front', 'Back', 'Floral', 'Embroidery', 'and', 'Handwork', 'Gold', 'Thread', 'Silk', 'Readymade', 'Blouse', 'for', 'Saree', 'and', 'Lehenga', 'Choli', '(Size=38),blouse', 'widehaven', 'fashion']",880.jpeg,blouse widehaven fashion,WIDEHAVEN Women's Round Neck Front Back Floral Embroidery and Handwork Gold Thread Silk Readymade Blouse for Saree and Lehenga Choli (Size=38),widehaven neck front back floral embroidery handwork gold thread silk readymade blouse saree lehenga choli widehaven fashion
"['Cottons', 'Unstitched', 'Saree', 'Blouse', 'Fabric', '(Multicolor,', 'Free', 'Size)', '-', 'Pack', 'of', '5,', '1m', 'Each', '-(TRMR', 'NO-AE148,blouse', 'cotton', 'colors']",881.jpeg,blouse cotton colors,"Cottons Unstitched Saree Blouse Fabric (Multicolor, Free Size) - Pack of 5, 1m Each -(TRMR NO-AE148",cotton unstitched saree blouse fabric pack each no cotton color
"['Gold', 'Collar', 'Half', 'Sleeves', 'Blouse,blouse', ""bindigasm's"", 'advi']",882.jpeg,blouse bindigasm's advi,Gold Collar Half Sleeves Blouse,gold collar sleeve advi
"[""Women's"", 'Silk', 'Back', 'Closure', 'Readymade', 'Padded', 'Blouse,blouse', 'linfa']",883.jpeg,blouse linfa,Women's Silk Back Closure Readymade Padded Blouse,silk back closure readymade padded linfa
"[""Women's"", 'Brocade,Inner-Cotton', 'Stiched', 'Blouse', '(Purple,M)-PID29908,blouse', 'india', 'mantra']",884.jpeg,blouse india mantra,"Women's Brocade,Inner-Cotton Stiched Blouse (Purple,M)-PID29908",cotton stiched blouse india mantra
"['Round', 'Neck', 'Women', 'Blouse,blouse', 'yoella']",885.jpeg,blouse yoella,Round Neck Women Blouse,neck woman yoella
"['Magic', 'Collection', ""Women's"", 'Cotton', 'Silk', 'Readymade', 'Fully', 'Stitched', 'Ram', 'Blouse,blouse', 'magic', 'stones']",886.jpeg,blouse magic stones,Magic Collection Women's Cotton Silk Readymade Fully Stitched Ram Blouse,magic collection cotton silk readymade fully stitched ram magic stone
"[""Women's"", 'Maroon', 'Cotton', 'Stitched', 'Blouse,blouse', 'janasya']",887.jpeg,blouse janasya,Women's Maroon Cotton Stitched Blouse,maroon cotton stitched janasya
"[""Women's"", 'Stitched', 'Elbow', 'Sleeve', 'Saree', 'Blouse,blouse', 'ocean', 'fashion']",888.jpeg,blouse ocean fashion,Women's Stitched Elbow Sleeve Saree Blouse,stitched elbow sleeve saree ocean fashion
"[""Women's"", 'Red', 'Embroidered', 'Saree', 'Blouse.,blouse', 'studio', 'shringaar']",889.jpeg,blouse studio shringaar,Women's Red Embroidered Saree Blouse.,embroidered saree studio shringaar
